Executing org.apache.activemq.artemis.cli.commands.messages.Producer producer --url tcp://localhost:61616 --destination orders.queue --message-count 2000 --sleep 10 --user admin --password hapassword --verbose 
Home::/opt/amq, Instance::/home/jboss/amq-broker
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 84
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 85
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 86
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 87
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 88
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 89
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 90
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 91
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 92
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 93
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 94
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 95
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 96
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 97
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 98
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 99
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 100
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 101
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 102
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 103
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 104
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 105
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 106
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 107
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 108
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 109
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 110
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 111
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 112
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 113
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 114
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 115
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 116
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 117
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 118
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 119
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 120
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 121
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 122
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 123
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 124
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 125
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 126
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 127
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 128
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 129
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 130
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 131
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 132
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 133
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 134
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 135
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 136
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 137
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 138
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 139
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 140
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 141
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 142
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 143
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 144
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 145
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 146
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 147
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 148
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 149
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 150
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 151
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 152
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 153
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 154
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 155
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 156
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 157
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 158
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 159
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 160
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 161
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 162
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 163
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 164
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 165
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 166
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 167
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 168
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 169
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 170
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 171
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 172
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 173
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 174
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 175
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 176
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 177
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 178
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 179
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 180
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 181
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 182
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 183
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 184
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 185
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 186
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 187
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 188
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 189
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 190
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 191
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 192
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 193
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 194
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 195
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 196
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 197
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 198
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 199
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 200
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 201
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 202
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 203
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 204
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 205
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 206
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 207
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 208
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 209
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 210
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 211
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 212
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 213
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 214
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 215
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 216
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 217
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 218
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 219
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 220
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 221
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 222
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 223
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 224
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 225
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 226
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 227
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 228
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 229
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 230
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 231
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 232
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 233
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 234
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 235
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 236
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 237
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 238
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 239
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 240
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 241
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 242
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 243
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 244
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 245
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 246
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 247
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 248
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 249
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 250
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 251
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 252
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 253
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 254
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 255
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 256
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 257
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 258
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 259
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 260
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 261
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 262
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 263
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 264
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 265
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 266
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 267
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 268
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 269
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 270
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 271
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 272
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 273
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 274
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 275
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 276
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 277
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 278
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 279
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 280
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 281
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 282
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 283
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 284
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 285
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 286
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 287
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 288
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 289
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 290
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 291
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 292
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 293
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 294
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 295
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 296
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 297
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 298
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 299
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 300
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 301
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 302
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 303
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 304
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 305
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 306
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 307
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 308
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 309
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 310
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 311
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 312
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 313
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 314
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 315
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 316
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 317
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 318
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 319
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 320
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 321
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 322
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 323
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 324
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 325
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 326
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 327
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 328
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 329
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 330
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 331
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 332
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 333
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 334
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 335
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 336
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 337
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 338
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 339
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 340
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 341
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 342
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 343
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 344
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 345
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 346
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 347
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 348
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 349
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 350
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 351
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 352
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 353
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 354
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 355
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 356
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 357
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 358
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 359
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 360
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 361
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 362
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 363
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 364
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 365
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 366
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 367
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 368
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 369
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 370
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 371
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 372
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 373
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 374
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 375
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 376
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 377
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 378
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 379
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 380
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 381
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 382
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 383
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 384
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 385
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 386
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 387
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 388
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 389
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 390
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 391
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 392
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 393
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 394
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 395
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 396
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 397
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 398
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 399
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 400
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 401
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 402
